Область,Тергромада,Програма,Тематика,Кількість начань
Вінницька,Якушинецька,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Якушинецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Гайсинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Гайсинська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Краснопільська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Краснопільська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Кунківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Кунківська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Кунківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Северинівська,"Програма ""U-LEAD з Європою""",Громада з нуля,11
Вінницька,Северинівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Северинівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Станіславчицька,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Вінницька,Станіславчицька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Іллінецька,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Іллінецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Дашівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Дашівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Дашівська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Дашівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Вінницька,Глуховецька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Глуховецька,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Глуховецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Вінницька,Махнівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Махнівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Самгородоцька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Самгородоцька,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Вінницька,Самгородоцька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Самгородоцька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Калинівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Калинівська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Іванівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Іванівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Іванівська,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Іванівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Крижопільська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Крижопільська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Крижопільська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Крижопільська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Городківська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Городківська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Городківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Липовецька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Липовецька,"Програма ""U-LEAD з Європою""",Громада з нуля,9
Вінницька,Липовецька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Липовецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Вінницька,Турбівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Турбівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Турбівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Літинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Літинська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Вінницька,Літинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Вендичанська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Вендичанська,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Вінницька,Яришівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Яришівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Яришівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Яришівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Мурованокуриловецька,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Вінницька,Немирівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Немирівська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Немирівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Брацлавська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Брацлавська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Райгородська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Райгородська,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Райгородська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Райгородська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Оратівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Оратівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Піщанська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Піщанська,"Програма ""U-LEAD з Європою""",Громада з нуля,9
Вінницька,Студенянська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Студенянська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Студенянська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Студенянська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Погребищенська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Погребищенська,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Погребищенська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Теплицька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Теплицька,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Теплицька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Соболівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Вінницька,Соболівська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Соболівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Томашпільська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Томашпільська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Томашпільська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Вапнярська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Вапнярська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Тростянецька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Тростянецька,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Тростянецька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Ободівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Ободівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Ободівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Ободівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Вінницька,Тульчинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Тульчинська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Тульчинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Шпиківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Шпиківська,"Програма ""U-LEAD з Європою""",Громада з нуля,9
Вінницька,Шпиківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Шпиківська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Гніванська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Гніванська,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Гніванська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Вінницька,Гніванська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Тиврівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Тиврівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Тиврівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Сутисківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Сутисківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Вінницька,Сутисківська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Жданівська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Жданівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Жданівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Уланівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Уланівська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Уланівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Чернівецька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Чернівецька,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Вінницька,Чернівецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Бабчинецька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Бабчинецька,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Бабчинецька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Бабчинецька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Чечельницька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Чечельницька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Чечельницька,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Вінницька,Чечельницька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Ольгопільська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Ольгопільська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Вінницька,Ольгопільська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Ольгопільська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Шаргородська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Шаргородська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Вінницька,Джуринська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Джуринська,"Програма ""U-LEAD з Європою""",Громада з нуля,9
Вінницька,Джуринська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Вінницька,Джуринська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Вінницька,Мурафська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Мурафська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Вінницька,Мурафська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Вінницька,Ямпільська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Вінницька,Ямпільська,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Вінницька,Ямпільська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Вінницька,Ямпільська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Луцька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Луцька,Проєкт ООН Жінки  «Просування гендерної рівності та розширення прав і можливостей жінок в рамках реформи децентралізації в Україні»,Навчання загального управлінського характеру,1
Волинська,Луцька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,6
Волинська,Луцька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Волинська,Луцька,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Волинська,Володимир-Волинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Володимир-Волинська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Волинська,Ковельська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Ковельська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Волинська,Нововолинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Нововолинська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Волинська,Нововолинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Волинська,Нововолинська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Волинська,Устилузька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Устилузька,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Волинська,Устилузька,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Волинська,Устилузька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Волинська,Устилузька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Волинська,Зимнівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Зимнівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Волинська,Зимнівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Волинська,Зимнівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Волинська,Оваднівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Оваднівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Волинська,Оваднівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Волинська,Оваднівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Волинська,Горохівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Горохівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Горохівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Волинська,Горохівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Волинська,Берестечківська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Волинська,Мар’янівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Мар’янівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Волинська,Мар’янівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Волинська,Іваничівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Іваничівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Волинська,Іваничівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Іваничівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Волинська,Павлівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Павлівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Волинська,Павлівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Волинська,Павлівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Поромівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Поромівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Волинська,Поромівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Камінь-Каширська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Камінь-Каширська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Волинська,Камінь-Каширська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Волинська,Сошичненська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Волинська,Сошичненська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Сошичненська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Волинська,Ківерцівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Ківерцівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Волинська,Ківерцівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Волинська,Олицька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Волинська,Олицька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
